Year    IndustryIndustryIndustryUnits   VariableVariableVariableValue   Industry_code_ANZSIC06
    2017Level 4 GH135   Non-StorDollars H13     RedundanFinanciaC       ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H17     PurchaseFinancia     781ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H18     Other puFinancia     341ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H20     Non-operFinancia      19ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H21     Opening Financia     126ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H22     Closing Financia     143ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H23     Surplus Financia      50ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H24     Total asFinancia     839ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H25     Current Financia     463ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H26     Fixed taFinancia     189ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H27     AdditionFinancia      55ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H28     DisposalFinancia      24ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H29     Other asFinancia     187ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H30     Total eqFinancia     839ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H31     ShareholFinancia     281ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H32     Current FinanciaC       ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H33     Other liFinanciaC       ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H34     Total inFinancia  395600ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorDollars H35     Surplus Financia   13900ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorPercentaH36     Current FinanciaC       ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorPercentaH37     Quick raFinanciaC       ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorPercentaH38     Margin oFinancia      35ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorPercentaH39     Return oFinancia      18ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorPercentaH40     Return oFinancia       6ANZSIC06 groups G431 and G432
    2017Level 4 GH135   Non-StorPercentaH41     LiabilitFinancia      33ANZSIC06 groups G431 and G432
    2017Level 3 GH13    Other StDollars H01     Total inFinancia   30735ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H02     Sales ofFinancia   28933ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H03     Sales ofFinancia    1601ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H05     InterestFinancia     111ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H06     GovernmeFinancia       3ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H07     Non-operFinancia      87ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H08     Total exFinancia   29222ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H09     InterestFinancia     176ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H10     IndirectFinancia     107ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H11     DepreciaFinancia     410ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H12     SalariesFinancia    4583ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H13     RedundanFinancia       8ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H17     PurchaseFinancia   18481ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H18     Other puFinancia    5294ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H20     Non-operFinancia     172ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H21     Opening Financia    4506ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H22     Closing Financia    4682ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H23     Surplus Financia    1689ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H24     Total asFinancia   15090ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H25     Current Financia    9247ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H26     Fixed taFinancia    2825ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H27     AdditionFinancia     643ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H28     DisposalFinancia     198ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H29     Other asFinancia    3017ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H30     Total eqFinancia   15090ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H31     ShareholFinancia    4773ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H32     Current Financia    7039ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H33     Other liFinancia    3278ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H34     Total inFinancia  267700ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StDollars H35     Surplus Financia   14700ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StPercentaH36     Current Financia     131ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StPercentaH37     Quick raFinancia      65ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StPercentaH38     Margin oFinancia      36ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StPercentaH39     Return oFinancia      35ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StPercentaH40     Return oFinancia      11ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 3 GH13    Other StPercentaH41     LiabilitFinancia      32ANZSIC06 groups G421, G422, G423, G424, G425, G426, G427, G431, and G432
    2017Level 4 GH211   AccommodDollars H01     Total inFinancia    3814ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H02     Sales ofFinancia     498ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H03     Sales ofFinancia    3220ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H05     InterestFinancia      28ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H06     GovernmeFinancia       0ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H07     Non-operFinancia      68ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H08     Total exFinancia    3343ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H09     InterestFinancia     117ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H10     IndirectFinancia      70ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H11     DepreciaFinancia     146ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H12     SalariesFinancia     938ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H13     RedundanFinancia       0ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H17     PurchaseFinancia     178ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H18     Other puFinancia    1838ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H20     Non-operFinancia      57ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H21     Opening Financia      52ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H22     Closing Financia      65ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H23     Surplus Financia     484ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H24     Total asFinancia    8640ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H25     Current Financia    1486ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H26     Fixed taFinancia    5941ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H27     AdditionFinancia     723ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H28     DisposalFinancia     381ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H29     Other asFinancia    1213ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H30     Total eqFinancia    8640ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H31     ShareholFinancia    3103ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H32     Current Financia    2523ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H33     Other liFinancia    3014ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H34     Total inFinancia  124400ANZSIC06 group H440
    2017Level 4 GH211   AccommodDollars H35     Surplus Financia   15800ANZSIC06 group H440
    2017Level 4 GH211   AccommodPercentaH36     Current Financia      59ANZSIC06 group H440
    2017Level 4 GH211   AccommodPercentaH37     Quick raFinancia      56ANZSIC06 group H440
    2017Level 4 GH211   AccommodPercentaH38     Margin oFinancia      64ANZSIC06 group H440
    2017Level 4 GH211   AccommodPercentaH39     Return oFinancia      16ANZSIC06 group H440
    2017Level 4 GH211   AccommodPercentaH40     Return oFinancia       6ANZSIC06 group H440
    2017Level 4 GH211   AccommodPercentaH41     LiabilitFinancia      36ANZSIC06 group H440
    2017Level 4 GH212   Food andDollars H01     Total inFinancia   10613ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H02     Sales ofFinancia    2822ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H03     Sales ofFinancia    7675ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H05     InterestFinancia      38ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H06     GovernmeFinancia       0ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H07     Non-operFinancia      78ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H08     Total exFinancia    9998ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H09     InterestFinancia     109ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H10     IndirectFinancia      49ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H11     DepreciaFinancia     296ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H12     SalariesFinancia    3193ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H13     RedundanFinancia       1ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H17     PurchaseFinancia    1315ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H18     Other puFinancia    5000ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H20     Non-operFinancia      36ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H21     Opening Financia     205ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H22     Closing Financia     201ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H23     Surplus Financia     610ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H24     Total asFinancia    6304ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H25     Current Financia    1688ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H26     Fixed taFinancia    3182ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H27     AdditionFinancia     680ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H28     DisposalFinancia     374ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H29     Other asFinancia    1433ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H30     Total eqFinancia    6304ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H31     ShareholFinancia    2002ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H32     Current Financia    2809ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H33     Other liFinancia    1492ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H34     Total inFinancia   86000ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andDollars H35     Surplus Financia    4900ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andPercentaH36     Current Financia      60ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andPercentaH37     Quick raFinancia      53ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andPercentaH38     Margin oFinancia      53ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andPercentaH39     Return oFinancia      30ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andPercentaH40     Return oFinancia      10ANZSIC06 groups H451, H452, and H453
    2017Level 4 GH212   Food andPercentaH41     LiabilitFinancia      32ANZSIC06 groups H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H01     Total inFinancia   14427ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H02     Sales ofFinancia    3320ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H03     Sales ofFinancia   10895ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H05     InterestFinancia      66ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H06     GovernmeFinancia       1ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H07     Non-operFinancia     146ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H08     Total exFinancia   13342ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H09     InterestFinancia     226ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H10     IndirectFinancia     118ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H11     DepreciaFinancia     443ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H12     SalariesFinancia    4131ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H13     RedundanFinancia       1ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H17     PurchaseFinancia    1493ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H18     Other puFinancia    6838ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H20     Non-operFinancia      93ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H21     Opening Financia     257ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H22     Closing Financia     265ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H23     Surplus Financia    1094ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H24     Total asFinancia   14944ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H25     Current Financia    3175ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H26     Fixed taFinancia    9123ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H27     AdditionFinancia    1402ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H28     DisposalFinancia     755ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H29     Other asFinancia    2646ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H30     Total eqFinancia   14944ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H31     ShareholFinancia    5105ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H32     Current Financia    5332ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H33     Other liFinancia    4506ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H34     Total inFinancia   93600ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodDollars H35     Surplus Financia    7100ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodPercentaH36     Current Financia      60ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodPercentaH37     Quick raFinancia      55ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodPercentaH38     Margin oFinancia      55ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodPercentaH39     Return oFinancia      21ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodPercentaH40     Return oFinancia       7ANZSIC06 groups H440, H451, H452, and H453
    2017Level 3 GH21    AccommodPercentaH41     LiabilitFinancia      34ANZSIC06 groups H440, H451, H452, and H453
    2017Level 1 GH      Retail TDollars H01     Total inFinancia   84926ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H02     Sales ofFinancia   70673ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H03     Sales ofFinancia   13718ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H05     InterestFinancia     243ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H06     GovernmeFinancia       4ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H07     Non-operFinancia     288ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H08     Total exFinancia   81244ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H09     InterestFinancia     550ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H10     IndirectFinancia     296ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H11     DepreciaFinancia    1199ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H12     SalariesFinancia   12035ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H13     RedundanFinancia      12ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H17     PurchaseFinancia   51937ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H18     Other puFinancia   14901ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H20     Non-operFinancia     325ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H21     Opening Financia    7557ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H22     Closing Financia    8061ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H23     Surplus Financia    4186ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H24     Total asFinancia   41124ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H25     Current Financia   18253ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H26     Fixed taFinancia   14812ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H27     AdditionFinancia    2715ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H28     DisposalFinancia    1205ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H29     Other asFinancia    8059ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H30     Total eqFinancia   41124ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H31     ShareholFinancia   13460ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H32     Current Financia   17957ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H33     Other liFinancia    9708ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H34     Total inFinancia  233800ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TDollars H35     Surplus Financia   11500ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TPercentaH36     Current Financia     102ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TPercentaH37     Quick raFinancia      57ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TPercentaH38     Margin oFinancia      27ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TPercentaH39     Return oFinancia      31ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TPercentaH40     Return oFinancia      10ANZSIC06 divisions G and H
    2017Level 1 GH      Retail TPercentaH41     LiabilitFinancia      33ANZSIC06 divisions G and H
    2017Level 4 II111   Road TraDollars H01     Total inFinancia    8290ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H04     Sales ofFinancia    8046ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H05     InterestFinancia      46ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H06     GovernmeFinancia     168ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H07     Non-operFinancia      30ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H08     Total exFinancia    7666ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H09     InterestFinancia     144ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H10     IndirectFinancia     504ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H11     DepreciaFinancia     549ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H12     SalariesFinancia    2116ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H13     RedundanFinancia       1ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H19     PurchaseFinancia    4313ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H20     Non-operFinancia      39ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H21     Opening Financia      39ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H22     Closing Financia      43ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H23     Surplus Financia     628ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H24     Total asFinancia    6955ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H25     Current Financia    1712ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H26     Fixed taFinancia    4095ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H27     AdditionFinancia     923ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H28     DisposalFinancia     213ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H29     Other asFinancia    1148ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H30     Total eqFinancia    6955ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H31     ShareholFinancia    2754ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H32     Current Financia    1801ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H33     Other liFinancia    2400ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H34     Total inFinancia  216000ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraDollars H35     Surplus Financia   16400ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraPercentaH36     Current Financia      95ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraPercentaH37     Quick raFinancia      93ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraPercentaH39     Return oFinancia      23ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraPercentaH40     Return oFinancia       9ANZSIC06 groups I461 and I462
    2017Level 4 II111   Road TraPercentaH41     LiabilitFinancia      40ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H01     Total inFinancia    8290ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H04     Sales ofFinancia    8046ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H05     InterestFinancia      46ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H06     GovernmeFinancia     168ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H07     Non-operFinancia      30ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H08     Total exFinancia    7666ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H09     InterestFinancia     144ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H10     IndirectFinancia     504ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H11     DepreciaFinancia     549ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H12     SalariesFinancia    2116ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H13     RedundanFinancia       1ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H19     PurchaseFinancia    4313ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H20     Non-operFinancia      39ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H21     Opening Financia      39ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H22     Closing Financia      43ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H23     Surplus Financia     628ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H24     Total asFinancia    6955ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H25     Current Financia    1712ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H26     Fixed taFinancia    4095ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H27     AdditionFinancia     923ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H28     DisposalFinancia     213ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H29     Other asFinancia    1148ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H30     Total eqFinancia    6955ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H31     ShareholFinancia    2754ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H32     Current Financia    1801ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H33     Other liFinancia    2400ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H34     Total inFinancia  216000ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraDollars H35     Surplus Financia   16400ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraPercentaH36     Current Financia      95ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraPercentaH37     Quick raFinancia      93ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraPercentaH39     Return oFinancia      23ANZSIC06 groups I461 and I462
    2017Level 3 II11    Road TraPercentaH40     Return oFinancia       9ANZSIC06 groups I461 and I462
